away,day,eid,gamekey,home,meridiem,month,season_type,time,wday,week,year
TB,24,2019112400,58063,ATL,PM,11,REG,1:00,Sun,12,2019
DEN,24,2019112401,58064,BUF,PM,11,REG,1:00,Sun,12,2019
NYG,24,2019112402,58065,CHI,PM,11,REG,1:00,Sun,12,2019
PIT,24,2019112403,58066,CIN,PM,11,REG,1:00,Sun,12,2019
MIA,24,2019112404,58067,CLE,PM,11,REG,1:00,Sun,12,2019
CAR,24,2019112405,58068,NO,PM,11,REG,1:00,Sun,12,2019
OAK,24,2019112406,58069,NYJ,PM,11,REG,1:00,Sun,12,2019
DET,24,2019112407,58070,WAS,PM,11,REG,1:00,Sun,12,2019
SEA,24,2019112411,58074,PHI,PM,11,REG,1:00,Sun,12,2019
JAX,24,2019112408,58071,TEN,PM,11,REG,4:05,Sun,12,2019
DAL,24,2019112409,58072,NE,PM,11,REG,4:25,Sun,12,2019
GB,24,2019112410,58073,SF,PM,11,REG,8:20,Sun,12,2019
BAL,25,2019112500,58075,LA,PM,11,REG,8:15,Mon,12,2019
